"시도","ID_1","전체","남자","여자"
서울,16,990,486,504
부산,1,345,170,175
대구,4,247,123,124
인천,11,289,146,144
광주,7,150,75,75
대전,5,154,77,77
울산,17,117,61,56
세종,15,20,10,10
경기,8,1248,631,617
강원,6,152,77,75
충북,2,159,81,78
충남,3,211,108,103
전북,13,183,92,92
전남,14,180,90,90
경북,9,268,135,133
경남,10,333,170,164
제주,12,61,30,30
